teks,kategori
"Bantuan santunan lansia di Bojongmalaka saldo di kartu e-warong kosong melompong, warga ngeluh ga ada transparansi, kemensos tolong perbaiki sistem data DTKS",Bansos
"Parah banget Maling jemuran dan gas lpg sekitar Rancaekek makin marak dan meresahkan warga, warga jadi was-was dan ga tenang tolong segera ditindak",Keamanan/Ketertiban
Min plis Jalan dekat pasar daerah Cangkuang licin dan banyak kerikil tajam sampe shockbreaker motor jebol,Jalan Rusak
"Warga Bojongmalaka ngeluh Tumpukan sampah liar ga surut-surut udah 3 hari, dampaknya bikin warga gatal-gatal dan batuk, tolong pak camat segera tinjau lokasi",Sampah/Banjir
"Jalan dekat pasar di Cilengkrang banyak jeglongan sewu, bahaya bgt buat anak2 sekolah, tolong pak lurah perhatika jalan kami",Jalan Rusak
"Warga Sukamenak ngeluh Penyaluran beras bansos kualitas beras berkutu, apek dan hancur, dampaknya korban PHK ga dapet perhatian sama sekali, tolong bantu proses pencairan kartu sy min",Bansos
Banjir kiriman dari hulu bikin permukiman kebanjiran tiap tahun,Sampah/Banjir
"kemensos tolong perbaiki sistem data DTKS, Kartu Indonesia Sehat (KIS PBI) d Ciwidey udah nama dicoret tiba-tiba padahal miskin bikin korban PHK ga dapet perhatian sama sekali",Bansos
"Lapor pak, Sampah rumah tangga Bojongsoang ga surut-surut udah 3 hari motor mogok massal pas nekat nerobos. butuh perahu karet buat evakuasi warga",Sampah/Banjir
"Parah bgt Aksi tawuran remaja sekitar Manggahang makin marak dan meresahkan warga, warga takut keluar rumah malem hari tlg segera ditindak",Keamanan/Ketertiban
"Parah banget Judi online slot sekitar Manggahang nyolong barang warga secara beruntun, banyak kehilangan motor dlm sepekan tolong segera ditindak",Keamanan/Ketertiban
Jalan tanjakan curam udah retak2 bahaya buat kendaraan besar lewat,Jalan Rusak
"Jalur tanjakan di Sapan aspal hotmix nya ngelotok, shockbreaker motor jebol, plis secepatnya di perbaiki min",Jalan Rusak
"Warga Baleendah ngeluh Sound horeg hajatan nongkrong di pos ronda sambil nenggak ciu, dampaknya pengendara mtr cewek takut lewat situ, mohon pasang lampu jalan dan cctv di titik rawan",Keamanan/Ketertiban
"Warga Cangkuang ngeluh Tikungan jalan rusak berat gak dibenerin, dampaknya bikin velg muntor peang dan ban bocor, plis secepatnya di perbaiki min",Jalan Rusak
"minta tlg segera di hotmix, Jalan alternatif di Manggahang udah penuh kubangan air bikin bikin velg motor peang dan ban bocor",Jalan Rusak
"Warga Nagreg ngeluh Pintu air tanggulnya rembes dan bocor, dampaknya bikin lingkungan kumuh dan bau menyengat, tolong keruk selokan min",Sampah/Banjir
"Balap liar tengah malam di Ciwidey makin marak dan meresahkan warga, anak balita kaget nangis kebangun, mohon pasang lampu jalan dan cctv di titik rawan",Keamanan/Ketertiban
"Warga Bojongmalaka ngeluh Maling jemuran dan gas lpg berkeliaran bawa senjata tajam / cerulit, dampaknya warga jadi was-was dan ga tenang, tolong polres dan polsek rutin patroli malam",Keamanan/Ketertiban
"Lapor pak, Got depan rmh warga Rancamanyar ga surut-surut udah 3 hari warga terpaksa ngungsi k mushola. tlg keruk selokan min",Sampah/Banjir
"Lapor pak, Drainase pemukiman Rancaekek bikin bau comberan masuk ke kamar warga terpaksa ngungsi ke mushola. mohon dinas lingkungan hidup turun tangan",Sampah/Banjir
"Ronda malam udah ga jalan lagi, warga khawatir soal keamanan",Keamanan/Ketertiban
Min tolong Sound horeg hajatan daerah Kutawaringin berkeliaran bawa senjata tajam / cerulit sampe pengendara mtr cewek takut lewat situ,Keamanan/Ketertiban
Sampah dibiarkan menumpuk bikin bau busuk sampe ke rumah tetangga,Sampah/Banjir
"Parah bangett Paving block jalan sekitar Rancamanyar berlubang parah, bikin muntor sering jatoh tiap malem tolong segera ditindak",Jalan Rusak
"Warga Bojongsoang ngeluh Jalan utama retak-retak parah, dampaknya bikin macet parahh tiap pagi, tlg secepatnya di perbaiki min",Jalan Rusak
"Parah banget Knalpot brong bising sekitar Bojongmalaka makin marak dan meresahkan warga, pedagang kecil rugi diperas terus tlong segera ditindak",Keamanan/Ketertiban
"minta bantuan pompa air sedot banjir min, Kali dekat pasar di Rancamanyar udah meluap ke jalan tiap ujan lebat bikin barang elektronik pada rusak kerendem",Sampah/Banjir
"Lapor pak, Sampah rumah tangga Arjasari penuh belatung dan lalat hijau bikin lingkungan kumuh dan bau menyengat. minta bantuan pompa air sedot banjir min",Sampah/Banjir
"Warga Cilengkrang ngeluh Banjir tahunan penuh sampah kasur dan plastik, dampaknya warga terpaksa ngungsi ke mushola, tolong keruk selokan min",Sampah/Banjir
"Warga Ciwidey ngeluh Tempat penampungan sampah ga surut-surut udah 3 hari, dampaknya barang elektronik pada rusak kerendem, dinas kebersihan tolong angkut sampahnya",Sampah/Banjir
"tolong tertibkan balap liar pak polisi, Pungutan liar oknum di Cibaduyut udah sering lempar batu dan botol kaca bikin pengendara muntor cewek takut lewat situ",Keamanan/Ketertiban
"Lapor pak, Pungutan liar oknum Arjasari nongkrong di pos ronda sambil nenggak ciu lingkungan jadi rawan kriminal. min tolong sampaikan k babinsa/bhabinkamtibmas",Keamanan/Ketertiban
"Pemuda mabuk-mabukan di Cangkuang berkeliaran bawa senjata tajam / cerulit, banyak kehilangan motor dlm sepekan, min plis sampaikan k babinsa/bhabinkamtibmas",Keamanan/Ketertiban
"Warga Rancamanyar ngeluh Got depan rumah warga mampet total gara-gara plastik dan sampah, dampaknya banyak nyamuk DBD, tolong armada truk sampah segera dateng",Sampah/Banjir
"tlg armada truk sampah segera dateng, Drainase pemukiman di Ujungberung udah bikin bau comberan masuk ke kamar bikin anak sekolah ga bisa lewat",Sampah/Banjir
"Salura air induk d Majalaya menggunung udah berminggu-minggu ga diangkut, warga terpaksa ngungsi ke mushola, mohon dinas lingkungan hidup turun tangan",Sampah/Banjir
"jangan nunggu ada korban jiwa baru dibenerin, Jembatan kecil di Banjaran udah bolong dalem bgt bikin warga was2 tiap lewat apalagi pas ujan",Jalan Rusak
Genangan air ga surut2 udah 3 hari abis hujan gede,Sampah/Banjir
"Parah bgt Sound horeg hajatan sekitar Cilengkrang maksa minta uang keamanan ke pedagang kecil, korban mengalami luka sabetan sajam tolong segera ditindak",Keamanan/Ketertiban
"Parah banget Penyaluran beras bansos sekitar Cikoneng keluarga dan timses kades diprioritaskan, warga ngeluh ga ada transparansi plis segera ditindak",Bansos
"Warga Majalaya ngeluh Akses jalan masuk bolong dalem bgt, dampaknya warga was2 tiap lewat apalagi pas ujan, min tolong sampaikan k dinas terkait",Jalan Rusak
"mohon kades/lurah tindak tegas oknum yg motong, Pencairan dana bansos di kantor pos/bank di Kopo udah aplikasi pendaftaran bansos error dan gbs login bikin anak yatim ga bsa beli perlengkapan sekolah",Bansos
Min plis Pintu air daerah Pasirjambu menggunung udah berminggu-minggu ga diangkut sampe warga terpaksa ngungsi ke mushola,Sampah/Banjir
"Parah bngt Pencairan dana bansos d kantor pos/bank sekitar Pasirjambu udah 3 bulan belum cair tanpa penjelasan, warga ngeluh ga ada transparansi plis segera ditindak",Bansos
Banjir separuh betis tiap hujan gede di jalan utama perumahan,Sampah/Banjir
